estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,target_team_label,profit_margin_pct
11118,Medium,97,6,Data,High,11,Mid,1,98.0,Comprehensive,Standard,High,Moderate,Medium,Hybrid,35.6
2491,Low,40,2,Infrastructure,Medium,5,Junior,1,57.1,Comprehensive,Standard,High,Moderate,Medium,Hybrid,51.69
47146,High,166,5,Data,Low,3,Junior,0,86.2,Minimal,Real-time,Low,Moderate,Low,Hybrid,49.79
32895,High,138,5,Web,High,5,Junior,1,59.4,Minimal,High,High,Tight,Medium,Human,46.19
58930,High,157,9,Web,High,7,Junior,1,98.0,Comprehensive,High,Low,Tight,Medium,Hybrid,40.27
709,Low,7,1,Security,Medium,4,Mid,0,48.9,Standard,High,Medium,Moderate,Low,AI,53.77
12561,Medium,101,4,Infrastructure,Medium,5,Mid,0,75.0,Standard,Standard,High,Moderate,High,Hybrid,46.6
3955,Low,47,1,Infrastructure,Medium,5,Junior,0,62.0,Standard,Standard,Medium,Tight,High,AI,63.15
7387,Medium,72,7,Security,High,3,Mid,1,67.0,Minimal,Standard,Low,Tight,High,Human,46.77
3624,Medium,74,2,Web,Low,5,Architect,0,49.9,Minimal,Standard,Low,Moderate,Medium,Hybrid,40.62
6440,Medium,72,4,Data,High,5,Senior,1,55.2,Standard,Real-time,Medium,Moderate,High,Human,32.51
10576,Medium,97,1,Data,Medium,6,Mid,0,68.5,Standard,Real-time,Low,Moderate,Medium,Hybrid,47.36
75062,High,154,5,Infrastructure,Medium,3,Senior,0,65.5,Minimal,Standard,High,Tight,Medium,Human,33.03
26329,High,164,8,Web,Low,2,Junior,0,75.5,Standard,High,Medium,Tight,High,Hybrid,47.79
9798,Medium,51,4,Data,Low,2,Senior,1,73.7,Minimal,Real-time,Medium,Moderate,High,Hybrid,36.08
21045,High,153,7,Infrastructure,High,3,Mid,1,83.8,Minimal,High,Critical,Tight,High,Human,32.36
5114,Medium,57,5,Mobile,High,7,Mid,0,98.0,Comprehensive,High,Medium,Flexible,High,Hybrid,35.9
39349,High,165,10,Mobile,High,6,Mid,1,63.3,Standard,Real-time,Medium,Tight,High,Human,29.17
1268,Low,41,1,Web,Medium,1,Mid,0,65.5,Minimal,Standard,Medium,Flexible,Medium,AI,50.8
639,Low,7,1,Infrastructure,Medium,3,Mid,0,38.2,Comprehensive,Real-time,Medium,Flexible,Medium,Hybrid,49.28
3300,Low,53,1,Web,Low,1,Architect,0,69.0,Minimal,Standard,Low,Flexible,Medium,AI,43.7
1262,Low,47,2,Mobile,High,4,Mid,1,60.1,Standard,High,High,Tight,Medium,Human,44.42
2213,Low,8,2,Data,Low,2,Senior,0,53.8,Standard,Real-time,High,Moderate,Low,Hybrid,44.0
15495,Medium,97,2,Security,Low,0,Senior,1,79.9,Standard,Standard,High,Flexible,Medium,Hybrid,36.3
26840,High,143,8,Infrastructure,Medium,0,Senior,0,66.3,Standard,High,High,Moderate,High,Hybrid,28.08
6711,Medium,47,2,Data,Low,3,Mid,0,24.9,Minimal,Real-time,High,Flexible,Low,Hybrid,48.21
31107,Medium,90,7,Data,Low,2,Senior,0,98.0,Minimal,Standard,Critical,Tight,Low,Human,42.36
14840,Medium,51,5,Web,High,5,Mid,0,44.9,Standard,Standard,Critical,Flexible,Low,Human,37.68
10744,Medium,87,4,Mobile,Medium,5,Mid,0,83.7,Standard,High,Low,Flexible,Medium,Hybrid,43.14
1299,Low,39,1,Web,High,7,Mid,0,56.0,Standard,Standard,High,Tight,Medium,Human,52.18
3954,Low,7,1,Data,Medium,8,Mid,0,55.1,Comprehensive,Real-time,Medium,Moderate,Medium,Hybrid,46.07
18692,Medium,99,6,Web,Critical,10,Senior,0,85.6,Standard,Standard,Low,Flexible,High,Human,29.89
10559,Medium,75,6,Mobile,High,5,Mid,0,49.4,Standard,High,High,Flexible,High,Human,36.18
5946,Medium,96,4,Infrastructure,Medium,6,Architect,0,76.5,Minimal,High,Medium,Tight,Low,Hybrid,35.75
41454,High,165,8,Infrastructure,Medium,4,Mid,1,59.7,Standard,Standard,High,Flexible,Medium,Hybrid,32.21
672,Low,30,1,Mobile,Low,2,Senior,1,47.5,Minimal,High,Medium,Tight,High,AI,50.27
12627,Medium,74,3,Mobile,High,12,Mid,0,71.7,Comprehensive,Standard,High,Moderate,Medium,Human,41.22
1812,Low,7,1,Web,High,7,Junior,0,52.7,Standard,High,High,Tight,Low,Human,60.1
2976,Low,33,1,Data,High,7,Junior,0,64.0,Minimal,High,High,Moderate,Medium,Human,56.54
10640,Medium,92,5,Infrastructure,High,3,Senior,1,71.8,Standard,High,High,Tight,Medium,Human,34.65
10520,Medium,76,7,Data,High,8,Senior,0,56.9,Minimal,Standard,Low,Tight,High,Hybrid,41.31
2835,Low,32,2,Data,Low,3,Junior,1,49.6,Standard,Real-time,Low,Flexible,Medium,Hybrid,54.29
47161,High,130,7,Data,Medium,5,Senior,0,87.8,Minimal,Standard,Medium,Moderate,Medium,Human,36.64
1759,Low,45,4,Security,Low,1,Senior,1,41.1,Minimal,Real-time,Low,Moderate,Medium,Hybrid,42.28
6258,Low,35,3,Web,Low,3,Junior,1,34.3,Comprehensive,Standard,Medium,Moderate,Low,Hybrid,54.61
17275,Medium,78,5,Data,Low,2,Senior,0,47.2,Standard,Real-time,High,Flexible,Medium,Hybrid,34.79
30306,High,183,7,Web,Medium,6,Senior,0,97.8,Standard,Standard,Medium,Flexible,High,Hybrid,27.67
17864,Medium,81,4,Infrastructure,Medium,5,Mid,0,86.7,Minimal,Standard,Medium,Tight,Medium,Hybrid,47.73
18264,High,165,8,Data,Medium,5,Junior,0,68.4,Standard,Standard,Low,Tight,High,Hybrid,47.18
3359,Medium,102,6,Data,Medium,6,Architect,0,77.1,Minimal,High,Critical,Tight,Medium,Human,30.21
1977,Low,7,2,Security,Medium,3,Junior,1,66.1,Standard,High,High,Flexible,Medium,Hybrid,52.45
1342,Low,38,2,Mobile,Critical,7,Senior,0,63.4,Minimal,High,Medium,Tight,Medium,Human,47.77
3162,Low,7,3,Security,Low,1,Junior,1,38.1,Comprehensive,High,High,Moderate,Medium,Hybrid,56.08
54633,High,155,10,Data,High,6,Architect,0,58.7,Comprehensive,Standard,High,Tight,Medium,Human,19.12
16001,Medium,61,6,Web,Critical,3,Junior,0,75.4,Minimal,Real-time,High,Flexible,Medium,Human,41.09
36581,Medium,109,6,Security,High,7,Senior,0,78.8,Comprehensive,Real-time,Low,Moderate,Low,Hybrid,31.31
1071,Low,52,1,Infrastructure,Critical,4,Junior,0,89.9,Standard,High,Low,Moderate,High,Human,57.48
52320,High,185,8,Security,Medium,7,Senior,0,53.6,Comprehensive,High,Low,Moderate,High,Hybrid,29.87
4693,Low,38,2,Data,Low,3,Senior,0,68.2,Standard,Standard,High,Tight,Low,AI,49.64
1125,Low,44,1,Security,Medium,3,Junior,1,51.8,Standard,Standard,Medium,Moderate,High,Hybrid,57.28
2221,Low,15,3,Web,High,9,Mid,0,23.0,Standard,Standard,Medium,Moderate,Low,Hybrid,52.5
25612,Medium,84,6,Web,Medium,5,Senior,0,73.3,Minimal,High,Medium,Tight,High,Hybrid,38.29
1859,Low,22,2,Data,Low,2,Mid,0,45.5,Standard,Standard,Critical,Flexible,High,Human,49.45
2029,Low,50,1,Data,Medium,1,Mid,0,52.7,Comprehensive,Standard,Medium,Tight,Low,AI,55.42
1833,Low,15,2,Web,Medium,6,Mid,0,74.0,Minimal,High,High,Moderate,High,Hybrid,48.63
2080,Low,16,2,Mobile,Medium,3,Senior,0,63.7,Comprehensive,Standard,Medium,Flexible,Medium,AI,42.85
33004,High,152,7,Data,Low,5,Senior,0,52.9,Minimal,Standard,Critical,Tight,Medium,Human,35.18
38811,High,175,8,Security,Medium,8,Mid,0,73.5,Standard,High,Low,Moderate,High,Hybrid,37.67
62616,High,145,5,Web,Low,3,Senior,0,52.5,Comprehensive,Standard,Medium,Tight,High,Human,34.91
5466,Medium,62,4,Data,Medium,4,Mid,0,68.1,Minimal,Standard,Low,Tight,Low,Hybrid,55.04
37395,High,104,8,Infrastructure,High,6,Mid,1,90.7,Standard,High,High,Flexible,High,Human,26.86
1969,Low,25,1,Data,Critical,7,Junior,1,62.6,Standard,High,Low,Moderate,High,Human,51.49
9043,Medium,111,5,Infrastructure,High,7,Senior,0,49.2,Minimal,High,Low,Tight,Medium,Hybrid,42.91
4693,Low,52,2,Web,Low,3,Senior,0,67.1,Comprehensive,High,Medium,Tight,Medium,AI,47.26
11952,Medium,95,4,Mobile,Critical,5,Mid,1,64.4,Standard,Standard,Medium,Flexible,Low,Human,39.16
4472,Medium,95,4,Mobile,Medium,8,Mid,0,74.7,Standard,High,High,Tight,High,Hybrid,45.9
16026,Medium,91,5,Mobile,Medium,4,Architect,0,78.2,Comprehensive,Standard,Critical,Moderate,Medium,Human,25.7
16793,Medium,99,3,Web,Low,0,Senior,0,80.7,Standard,Standard,High,Moderate,Medium,Hybrid,40.93
9969,Medium,94,6,Data,Medium,7,Junior,1,40.6,Comprehensive,Standard,Medium,Flexible,High,Hybrid,41.39
20028,Medium,74,3,Security,High,2,Mid,1,41.7,Standard,High,Low,Tight,High,Human,44.31
2152,Low,20,2,Mobile,High,8,Mid,1,33.0,Minimal,Real-time,Critical,Tight,Low,Human,47.65
21166,High,141,6,Infrastructure,High,8,Mid,0,56.6,Comprehensive,High,Medium,Moderate,Low,Hybrid,37.93
1442,Low,34,1,Web,Low,3,Mid,0,57.5,Standard,High,High,Flexible,Medium,AI,49.76
1715,Low,32,4,Web,Low,2,Junior,0,58.3,Minimal,High,High,Moderate,Medium,AI,60.58
8018,Medium,62,5,Security,Medium,2,Mid,1,66.3,Standard,Standard,High,Moderate,Medium,Hybrid,38.82
87650,High,148,6,Web,High,6,Architect,1,98.0,Standard,High,Critical,Flexible,Medium,Human,12.44
5748,Medium,101,1,Security,Low,3,Architect,1,74.9,Comprehensive,Standard,Medium,Moderate,High,AI,28.97
8192,Medium,62,3,Data,Low,1,Junior,1,66.5,Standard,Standard,High,Moderate,High,Hybrid,53.59
1479,Low,8,1,Data,Medium,3,Mid,0,52.4,Minimal,Real-time,Low,Tight,Medium,AI,56.3
1051,Low,29,2,Web,Critical,3,Junior,0,37.7,Minimal,Standard,Medium,Flexible,Medium,Human,57.16
75294,High,151,9,Infrastructure,Critical,7,Mid,0,70.8,Comprehensive,High,Medium,Tight,High,Human,32.43
10541,Medium,91,5,Infrastructure,High,7,Mid,0,98.0,Minimal,High,Low,Flexible,Medium,AI,40.18
18321,Medium,96,6,Data,High,5,Architect,0,50.9,Comprehensive,Real-time,Medium,Flexible,Medium,Hybrid,22.16
1334,Low,43,1,Web,Medium,1,Senior,0,74.5,Comprehensive,Real-time,Medium,Flexible,Medium,AI,40.16
27213,High,156,8,Mobile,Low,1,Architect,0,84.0,Standard,Standard,Low,Moderate,Medium,Human,28.83
15790,Medium,104,3,Data,High,4,Architect,1,65.2,Comprehensive,Standard,Low,Moderate,Medium,Human,24.9
16286,Medium,81,6,Security,Medium,4,Mid,0,65.2,Comprehensive,High,High,Tight,High,Hybrid,40.65
66797,High,193,8,Data,High,5,Senior,0,74.4,Comprehensive,Real-time,High,Flexible,Medium,Human,22.25
1378,Low,28,3,Security,Medium,6,Senior,0,58.7,Standard,Standard,Critical,Flexible,High,Human,40.06
19862,High,140,8,Web,Critical,5,Mid,0,98.0,Standard,Standard,Low,Flexible,High,Hybrid,34.67
19499,Medium,58,5,Web,Medium,2,Senior,1,82.5,Standard,High,Medium,Tight,Medium,Hybrid,35.13
39072,High,188,8,Web,High,6,Junior,1,80.5,Comprehensive,Standard,Low,Moderate,Medium,Human,41.74
3955,Medium,119,5,Infrastructure,Medium,4,Mid,0,57.6,Standard,Standard,Medium,Moderate,Low,Hybrid,47.41
30787,High,146,6,Security,Low,0,Junior,0,86.2,Comprehensive,Standard,High,Flexible,Medium,Hybrid,44.24
109620,High,130,7,Web,High,5,Senior,1,86.8,Standard,Standard,High,Moderate,High,Hybrid,24.15
1744,Low,45,1,Data,High,9,Architect,1,59.6,Minimal,High,Low,Moderate,High,Human,33.35
7782,Medium,57,5,Security,Low,3,Senior,1,88.6,Standard,High,Medium,Moderate,High,Hybrid,36.15
108523,High,141,8,Infrastructure,High,5,Senior,0,90.4,Standard,Real-time,Medium,Tight,Medium,Human,28.04
12428,Medium,101,3,Security,High,4,Junior,0,76.5,Comprehensive,High,High,Flexible,High,Human,42.21
767,Low,7,1,Security,Low,1,Architect,1,44.5,Standard,High,Critical,Moderate,Low,Human,34.16
2036,Low,7,2,Mobile,Medium,1,Senior,0,82.2,Minimal,Real-time,Medium,Tight,High,AI,49.08
49943,High,166,6,Security,Medium,4,Mid,1,42.1,Standard,Standard,Low,Flexible,Medium,Hybrid,35.79
18869,Medium,83,4,Web,Low,0,Mid,0,68.2,Standard,High,Medium,Tight,Medium,Hybrid,51.45
2624,Low,25,1,Security,Medium,1,Senior,1,53.9,Standard,High,High,Tight,Low,Hybrid,44.08
7785,Medium,57,5,Data,Low,4,Mid,1,64.3,Comprehensive,High,Medium,Flexible,Medium,AI,37.28
1653,Low,7,3,Infrastructure,High,11,Senior,1,89.1,Comprehensive,Real-time,Low,Moderate,High,Human,37.5
19470,Medium,88,5,Infrastructure,High,14,Mid,1,80.6,Standard,Standard,High,Tight,Low,Hybrid,41.19
21715,High,166,7,Infrastructure,Medium,6,Mid,0,64.7,Comprehensive,Real-time,Medium,Flexible,Medium,Hybrid,31.77
30535,High,148,8,Data,Low,3,Mid,1,70.1,Minimal,High,Medium,Flexible,Medium,Hybrid,33.61
38675,High,155,11,Data,High,4,Mid,0,74.7,Standard,High,Medium,Tight,Low,Hybrid,36.68
2122,Low,22,1,Infrastructure,Medium,0,Senior,0,45.2,Standard,Standard,Medium,Tight,High,AI,49.98
22227,Medium,85,6,Security,Medium,3,Junior,1,61.4,Standard,High,Medium,Flexible,High,Hybrid,41.98
60863,High,132,9,Data,High,7,Senior,0,73.3,Comprehensive,High,Low,Moderate,Medium,Human,26.61
2183,Low,55,1,Security,High,10,Senior,1,54.6,Standard,Standard,Medium,Flexible,Low,Human,39.75
21433,Medium,110,4,Web,High,3,Mid,0,59.1,Standard,Standard,Critical,Flexible,Medium,Hybrid,38.94
1531,Low,47,1,Web,Medium,6,Architect,0,51.3,Standard,Standard,Medium,Tight,High,AI,44.24
3408,Low,37,2,Infrastructure,Medium,4,Senior,0,53.4,Standard,Standard,Low,Flexible,Medium,AI,45.22
19488,Medium,107,3,Infrastructure,Medium,3,Mid,0,69.2,Standard,Standard,High,Flexible,Medium,Hybrid,41.38
2914,Low,46,1,Security,Low,0,Mid,1,65.1,Minimal,Standard,Medium,Flexible,Medium,Hybrid,56.07
1215,Low,39,1,Security,Low,3,Senior,0,52.5,Comprehensive,Standard,Critical,Tight,Low,Human,46.73
4090,Low,57,2,Web,Critical,5,Senior,0,33.0,Standard,High,Medium,Moderate,Low,Human,42.82
8551,Medium,68,2,Web,Medium,0,Senior,0,31.4,Standard,Real-time,High,Moderate,Medium,Hybrid,36.98
64571,High,152,7,Infrastructure,Low,2,Mid,0,73.6,Comprehensive,Real-time,Medium,Tight,Low,Human,38.81
24748,High,170,7,Security,High,10,Junior,1,98.0,Standard,High,Critical,Moderate,Medium,Human,35.2
2984,Low,35,1,Web,Low,2,Mid,0,72.7,Standard,High,Low,Tight,Medium,AI,59.06
10362,Medium,87,5,Data,Low,3,Junior,1,47.5,Standard,Standard,High,Flexible,High,AI,47.26
1060,Low,29,2,Security,Medium,1,Mid,0,31.0,Standard,Standard,High,Flexible,High,Hybrid,51.07
33780,High,147,7,Security,High,7,Junior,1,78.2,Standard,Real-time,Low,Tight,Medium,Human,43.42
6415,Low,46,1,Data,Medium,8,Mid,1,66.1,Standard,High,Medium,Moderate,Low,Hybrid,49.44
9200,Medium,49,3,Web,High,2,Mid,1,62.4,Standard,High,High,Tight,High,Human,41.42
3451,Low,39,2,Data,Critical,8,Architect,1,62.3,Standard,High,Low,Moderate,Medium,Human,34.66
9465,Medium,76,4,Security,Medium,5,Junior,1,68.8,Minimal,High,Low,Tight,Medium,Hybrid,52.85
21101,High,124,9,Data,Low,1,Senior,1,78.4,Standard,Real-time,High,Flexible,Low,Hybrid,28.05
33782,High,186,6,Web,Medium,5,Architect,0,86.7,Standard,High,Critical,Moderate,Low,Human,21.19
2953,Low,35,3,Infrastructure,Medium,1,Mid,0,42.6,Minimal,Standard,Critical,Flexible,High,Human,47.99
14436,Medium,103,3,Web,Medium,0,Junior,1,55.6,Comprehensive,High,Medium,Tight,High,Hybrid,47.26
2272,Low,22,2,Security,Medium,6,Senior,0,53.0,Minimal,High,High,Moderate,Low,Hybrid,44.54
8692,Medium,96,3,Web,Low,2,Junior,0,81.0,Minimal,Real-time,Medium,Flexible,Medium,Hybrid,52.95
23641,High,135,8,Security,High,2,Architect,1,64.2,Standard,High,Medium,Flexible,High,Human,19.65
20031,Medium,81,4,Mobile,Low,2,Senior,0,71.4,Minimal,Real-time,Low,Moderate,Medium,Hybrid,40.92
2525,Low,7,3,Security,Medium,6,Junior,1,46.1,Standard,High,Low,Flexible,Medium,AI,54.66
1569,Low,40,3,Web,Critical,4,Junior,1,58.9,Minimal,High,High,Flexible,High,Human,48.82
19452,Medium,82,5,Data,High,6,Senior,0,89.2,Standard,Real-time,High,Moderate,Low,Human,34.18
767,Low,7,3,Data,Low,2,Senior,0,81.2,Standard,High,Medium,Moderate,Low,AI,50.47
13784,Medium,80,5,Security,Medium,2,Senior,1,64.1,Standard,Standard,Medium,Moderate,Medium,Hybrid,38.59
1207,Low,21,1,Web,Critical,5,Architect,0,45.0,Comprehensive,Real-time,Medium,Moderate,Low,Human,33.22
1427,Low,24,2,Web,Low,1,Senior,1,49.0,Comprehensive,High,High,Tight,High,AI,43.08
5759,Medium,85,5,Security,Low,1,Mid,0,51.2,Comprehensive,Standard,Medium,Tight,High,Hybrid,48.93
54316,High,148,4,Mobile,High,2,Senior,0,55.8,Minimal,Standard,Medium,Moderate,Medium,Hybrid,34.8
16403,Medium,84,3,Data,High,5,Mid,0,71.4,Standard,High,High,Flexible,Low,Human,38.41
31819,High,144,5,Mobile,High,12,Mid,1,51.8,Standard,High,Medium,Moderate,Medium,Human,32.63
92408,High,150,7,Data,High,13,Senior,0,65.2,Comprehensive,Standard,Low,Tight,Medium,Human,33.62
19574,Medium,79,4,Security,High,6,Mid,0,50.9,Standard,Standard,Low,Flexible,High,Hybrid,44.7
24421,Medium,108,2,Infrastructure,High,10,Mid,0,79.6,Standard,Real-time,Low,Flexible,High,Hybrid,39.16
56415,High,178,7,Data,Medium,4,Mid,0,94.8,Minimal,Standard,High,Moderate,Medium,Hybrid,39.0
36569,High,171,8,Web,Medium,2,Senior,0,75.2,Comprehensive,Standard,Medium,Tight,Low,Hybrid,35.37
47273,High,181,7,Web,Low,1,Mid,0,82.1,Minimal,High,Low,Moderate,Medium,Hybrid,40.3
8674,Medium,122,6,Data,Medium,3,Senior,1,80.5,Standard,Real-time,Medium,Moderate,Medium,Hybrid,31.73
45928,High,177,10,Data,Medium,3,Junior,1,85.9,Minimal,Standard,Medium,Tight,Medium,Hybrid,48.42
2761,Low,71,2,Web,Medium,4,Junior,0,43.0,Comprehensive,Real-time,High,Moderate,Low,Hybrid,55.01
100491,High,169,11,Web,Medium,3,Mid,1,50.3,Standard,Standard,Medium,Moderate,Medium,Human,32.78
18463,Medium,113,3,Web,High,12,Mid,0,82.9,Minimal,High,Medium,Tight,Low,Hybrid,47.8
11470,Medium,77,4,Data,Medium,4,Mid,0,86.4,Comprehensive,Real-time,High,Flexible,High,Hybrid,37.04
14674,Medium,81,5,Security,Low,3,Senior,1,39.0,Minimal,High,Low,Flexible,High,Hybrid,33.45
2081,Low,17,2,Infrastructure,Critical,13,Architect,0,44.5,Minimal,Standard,Low,Flexible,High,Human,36.5
67389,High,147,7,Data,Critical,4,Mid,1,62.1,Minimal,Standard,Low,Flexible,Low,Human,34.46
2242,Low,42,2,Mobile,Low,1,Senior,0,65.5,Comprehensive,High,High,Flexible,Medium,Hybrid,38.14
21281,High,162,12,Data,High,5,Junior,1,65.5,Standard,Standard,Medium,Moderate,High,Human,38.08
9610,Medium,105,5,Mobile,High,7,Senior,1,44.8,Standard,High,High,Tight,Low,Human,34.99
7480,Medium,117,7,Security,Medium,2,Mid,1,91.7,Standard,High,Critical,Moderate,Medium,Human,36.53
18256,Medium,89,4,Infrastructure,High,7,Senior,1,71.1,Comprehensive,Standard,Critical,Tight,High,Human,29.96
43028,High,169,9,Data,High,7,Mid,1,60.5,Comprehensive,Real-time,Medium,Moderate,High,Human,25.92
47849,High,155,10,Data,Low,1,Mid,0,73.6,Minimal,Real-time,Medium,Moderate,Medium,Hybrid,36.26
2010,Low,21,2,Security,Low,3,Junior,0,29.3,Minimal,Real-time,Low,Flexible,Low,Hybrid,60.67
61123,High,127,8,Web,Low,2,Mid,1,96.1,Standard,Standard,Medium,Moderate,Low,Human,38.86
620,Low,8,2,Data,Low,5,Mid,1,64.9,Minimal,High,Low,Moderate,Low,Hybrid,55.6
1576,Low,7,1,Web,Low,1,Mid,0,45.2,Standard,Standard,Medium,Tight,Low,AI,59.59
976,Low,14,1,Security,Critical,13,Senior,1,73.6,Standard,High,Low,Flexible,High,Human,34.78
81952,High,109,6,Mobile,Medium,7,Junior,0,62.9,Standard,Standard,High,Flexible,Medium,Human,41.22
58462,High,144,9,Data,Low,1,Junior,0,71.2,Standard,High,Medium,Tight,Low,Hybrid,49.71
10303,Medium,76,5,Web,Low,1,Mid,0,61.3,Standard,Standard,Medium,Moderate,High,Hybrid,47.7
1315,Low,53,2,Security,Low,0,Senior,0,65.3,Standard,Real-time,Medium,Flexible,Medium,AI,42.38
23121,High,132,6,Data,Medium,7,Senior,0,64.1,Standard,High,Medium,Flexible,Medium,Hybrid,25.18
46402,High,146,7,Security,High,3,Mid,0,81.0,Minimal,High,Medium,Tight,High,Hybrid,38.19
20422,Medium,76,4,Infrastructure,Medium,5,Mid,0,61.7,Standard,High,Low,Flexible,High,Hybrid,42.03
18452,Medium,91,4,Mobile,Medium,6,Senior,1,65.9,Standard,High,Critical,Moderate,Medium,Hybrid,30.04
8132,Medium,127,4,Data,Low,1,Senior,0,84.1,Standard,High,High,Flexible,High,Hybrid,33.9
35122,High,135,7,Web,Low,0,Mid,0,60.0,Standard,Standard,Low,Moderate,Low,Hybrid,45.47
1929,Low,8,1,Web,Low,2,Junior,0,59.6,Comprehensive,High,Medium,Flexible,Medium,AI,56.19
21017,High,142,10,Data,Medium,3,Senior,0,80.4,Standard,High,High,Tight,Medium,Hybrid,31.86
1198,Low,28,2,Web,Low,7,Architect,0,61.1,Comprehensive,Real-time,Medium,Flexible,High,AI,30.63
41605,High,135,11,Infrastructure,Medium,2,Junior,0,60.0,Standard,Standard,High,Tight,Low,Hybrid,45.69
100163,High,144,8,Security,Medium,6,Senior,0,73.2,Standard,High,Medium,Tight,High,Human,28.41
61646,High,157,10,Data,High,5,Mid,1,93.4,Standard,High,High,Flexible,Low,Human,26.71
1373,Low,34,1,Web,Low,2,Senior,0,77.0,Minimal,High,Medium,Flexible,High,AI,43.96
2314,Low,52,1,Infrastructure,High,5,Architect,1,52.2,Standard,High,High,Flexible,Medium,Human,32.02
24267,Medium,39,6,Data,Low,1,Junior,0,90.4,Minimal,High,High,Moderate,Low,Hybrid,53.33
1754,Low,16,4,Infrastructure,High,3,Senior,0,46.1,Standard,Standard,Medium,Tight,Low,Hybrid,49.45
56542,High,149,7,Data,Low,1,Junior,1,60.8,Minimal,Standard,Medium,Tight,Medium,Hybrid,48.78
4949,Medium,126,3,Web,Medium,3,Junior,0,67.3,Minimal,Standard,Low,Tight,High,Hybrid,57.5
16190,High,158,8,Infrastructure,Critical,6,Mid,1,69.6,Standard,High,Low,Flexible,High,Human,27.6
46684,High,164,5,Data,Low,2,Junior,0,88.1,Comprehensive,Standard,Low,Tight,Medium,Hybrid,50.65
9921,Medium,84,5,Data,High,5,Mid,0,47.6,Standard,High,High,Flexible,Medium,Human,41.68
3774,Low,19,2,Web,Medium,2,Mid,0,53.0,Standard,High,High,Flexible,High,Hybrid,47.29
982,Low,16,1,Infrastructure,High,6,Junior,0,62.9,Comprehensive,Real-time,Low,Tight,Medium,Hybrid,57.29
1963,Low,9,2,Mobile,Medium,2,Junior,0,76.0,Standard,Standard,Low,Flexible,High,AI,57.46
55594,High,157,7,Data,High,5,Junior,0,98.0,Comprehensive,Standard,High,Flexible,High,Human,35.87
2429,Low,34,1,Web,High,7,Mid,0,81.4,Standard,High,Low,Tight,High,Hybrid,55.7
3441,Low,7,3,Mobile,Medium,6,Senior,0,52.5,Comprehensive,High,Medium,Moderate,Medium,AI,44.17
7076,Medium,96,4,Security,Medium,3,Architect,1,67.8,Comprehensive,Standard,Low,Moderate,High,Hybrid,29.26
6900,Medium,103,6,Web,High,5,Mid,0,60.4,Minimal,High,Low,Flexible,Medium,AI,43.73
63005,High,165,6,Data,Low,2,Junior,1,64.0,Comprehensive,High,Medium,Flexible,Medium,Human,39.64
