estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,project_type,codebase_age_years,existing_test_coverage_pct,dependency_count,last_refactor_years,incident_rate_monthly,code_duplication_pct,technical_debt_score,documentation_quality,language_modernity,team_familiarity,target_team_label,profit_margin_pct
20322,Medium,92,5,Data,Medium,5,Mid,0,57.0,Minimal,Real-time,High,Tight,High,1,8,40.6,146,4,6.63,27.4,High,Poor,Dated,Medium,Hybrid,28.28
5380,Medium,92,3,Web,Medium,4,Junior,0,51.3,Minimal,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,51.69
17275,Medium,78,5,Data,Low,2,Senior,0,47.2,Standard,Real-time,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,34.79
6440,Medium,72,4,Data,High,5,Senior,1,55.2,Standard,Real-time,Medium,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,32.51
67494,Medium,139,7,Infrastructure,High,17,Architect,0,43.3,Comprehensive,Real-time,Medium,Flexible,Low,1,5,34.8,124,5,0.54,21.2,Medium,Minimal,Dated,High,Hybrid,13.66
2847,Low,25,1,Mobile,Critical,6,Mid,0,61.8,Standard,High,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.29
127576,High,195,8,Web,High,10,Senior,0,48.6,Minimal,High,High,Moderate,High,1,12,24.0,208,5,1.35,22.1,High,Standard,Modern,Low,Human,18.37
117257,Medium,49,10,Mobile,Medium,9,Mid,0,34.7,Minimal,Real-time,Low,Tight,Medium,1,12,62.3,30,6,2.63,22.6,Medium,Standard,Modern,High,Hybrid,37.46
4690,Medium,105,4,Data,Critical,4,Senior,1,83.3,Standard,Standard,Medium,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,31.26
128527,High,203,8,Web,High,10,Senior,1,78.9,Minimal,Real-time,Medium,Tight,Medium,1,15,39.0,244,8,4.11,41.4,High,Minimal,Dated,High,Hybrid,13.01
48957,High,129,5,Security,Low,2,Senior,0,93.6,Minimal,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,30.05
3624,Medium,74,2,Web,Low,5,Architect,0,49.9,Minimal,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,40.62
72348,Medium,98,6,Security,High,7,Senior,1,38.7,Comprehensive,High,Medium,Moderate,High,1,8,31.1,68,7,7.74,37.2,High,Poor,Modern,High,Human,17.31
59115,Medium,140,3,Data,High,15,Mid,1,44.1,Minimal,High,High,Tight,High,1,14,76.8,108,7,6.43,34.1,High,Standard,Modern,Medium,Human,33.27
12045,Low,46,2,Web,Low,5,Senior,1,20.4,Standard,Standard,High,Moderate,High,1,11,34.0,372,7,3.06,36.7,High,Poor,Current,Medium,Hybrid,32.42
11306,Medium,104,7,Infrastructure,Medium,6,Mid,0,45.8,Minimal,Real-time,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.87
53836,High,186,8,Data,High,5,Architect,1,80.3,Comprehensive,High,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,12.77
1977,Low,7,2,Security,Medium,3,Junior,1,66.1,Standard,High,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,52.45
60214,High,168,7,Security,Medium,3,Senior,1,59.1,Comprehensive,High,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,29.09
180423,High,128,10,Data,High,10,Junior,1,50.1,Minimal,High,Medium,Moderate,Medium,1,12,61.8,42,6,0.02,24.6,Medium,Good,Legacy,Medium,Human,30.08
32644,Medium,138,2,Infrastructure,Critical,12,Mid,1,39.2,Standard,Real-time,Critical,Moderate,Medium,1,12,51.5,65,0,3.14,17.8,Medium,Minimal,Modern,Medium,Human,26.13
5736,Medium,77,2,Mobile,Medium,2,Mid,0,57.8,Standard,Standard,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,46.53
88281,High,171,11,Web,High,7,Senior,0,36.0,Comprehensive,High,Medium,Tight,High,1,11,8.2,130,3,0.57,35.0,High,Minimal,Modern,High,Hybrid,17.27
40190,High,189,9,Infrastructure,Low,1,Senior,0,70.7,Comprehensive,Standard,Low,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.24
10256,Medium,80,3,Web,Medium,5,Architect,0,48.8,Standard,High,Low,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,31.52
75830,High,166,9,Security,Critical,7,Senior,1,70.5,Comprehensive,High,Medium,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,19.31
767,Low,7,3,Data,Low,2,Senior,0,81.2,Standard,High,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,50.47
10761,Medium,81,5,Security,High,2,Architect,0,66.6,Comprehensive,Real-time,Critical,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,20.9
2097,Low,45,2,Data,Low,1,Junior,1,42.4,Standard,Standard,Low,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,60.24
18294,Low,46,2,Mobile,Medium,2,Senior,0,37.3,Standard,High,Medium,Moderate,Medium,1,8,66.6,32,3,0.32,24.2,Medium,Minimal,Modern,High,AI,40.5
32895,High,138,5,Web,High,5,Junior,1,59.4,Minimal,High,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,46.19
9328,Low,60,6,Mobile,High,9,Architect,1,50.2,Standard,Standard,Medium,Flexible,Low,1,1,52.8,326,0,3.85,9.5,Low,Good,Current,Low,Human,29.69
75062,High,154,5,Infrastructure,Medium,3,Senior,0,65.5,Minimal,Standard,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.03
5773,Low,8,1,Data,Medium,3,Mid,0,85.0,Standard,High,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,52.35
20028,Medium,74,3,Security,High,2,Mid,1,41.7,Standard,High,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,44.31
816,Low,9,1,Data,Critical,6,Architect,1,31.6,Standard,Standard,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.24
343001,High,172,11,Mobile,High,10,Senior,0,64.5,Standard,Standard,Low,Moderate,Medium,1,4,85.0,93,0,0.85,6.6,Low,Minimal,Dated,Medium,Hybrid,25.45
34676,Medium,181,9,Data,Critical,11,Senior,1,29.5,Standard,Standard,Medium,Moderate,Medium,1,18,32.5,53,8,20.0,34.9,High,Minimal,Legacy,Medium,Human,11.58
26694,Medium,131,3,Data,Critical,9,Senior,1,45.0,Standard,Standard,High,Tight,Low,1,13,58.6,131,4,3.09,20.0,Medium,Poor,Dated,Medium,Human,27.49
12551,Low,62,4,Infrastructure,Low,2,Senior,0,31.7,Standard,Standard,High,Tight,High,1,10,53.6,41,4,3.49,31.6,Medium,Poor,Modern,Medium,AI,37.9
42464,High,156,10,Web,High,5,Junior,0,63.0,Standard,Real-time,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,41.35
44604,Medium,121,6,Web,Critical,12,Architect,1,60.0,Comprehensive,High,Medium,Tight,High,1,9,46.5,116,3,8.36,29.8,High,Minimal,Current,Medium,Human,11.2
61548,Medium,78,7,Web,Medium,6,Senior,0,56.0,Standard,High,High,Tight,Medium,1,23,44.1,115,6,20.0,46.0,Critical,Good,Dated,High,Human,20.12
3977,Low,21,1,Mobile,High,8,Junior,0,67.2,Standard,Real-time,Low,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.33
2008,Low,51,1,Web,High,6,Junior,0,65.6,Standard,Standard,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,61.08
29709,High,129,7,Infrastructure,Critical,9,Senior,0,74.9,Comprehensive,Real-time,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,25.3
12915,Medium,73,6,Mobile,High,4,Junior,1,56.3,Comprehensive,High,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,48.33
9091,Medium,97,5,Data,Medium,4,Senior,1,68.5,Standard,High,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,35.44
3359,Medium,102,6,Data,Medium,6,Architect,0,77.1,Minimal,High,Critical,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,30.21
10471,Low,33,2,Data,High,12,Senior,1,35.5,Minimal,Standard,Critical,Moderate,High,1,16,49.7,129,6,3.06,24.5,Medium,Minimal,Dated,Medium,Human,31.11
390142,High,169,7,Infrastructure,High,15,Mid,0,67.1,Standard,Standard,High,Tight,Medium,1,6,71.8,49,1,1.33,15.1,Low,Standard,Modern,Low,Human,31.81
45352,High,145,9,Web,Low,3,Senior,0,65.2,Minimal,High,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,35.63
10640,Medium,92,5,Infrastructure,High,3,Senior,1,71.8,Standard,High,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,34.65
5225,Medium,89,3,Web,High,5,Senior,1,36.0,Standard,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.77
32421,Medium,100,7,Data,Low,6,Mid,0,53.9,Standard,Real-time,High,Moderate,High,1,13,16.7,84,8,2.06,38.3,Critical,Standard,Dated,Unfamiliar,Hybrid,24.34
12110,Medium,81,4,Web,Low,2,Mid,0,54.1,Standard,Standard,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,50.14
2058,Low,24,1,Web,Low,0,Architect,0,45.1,Standard,Real-time,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,44.41
76123,Medium,118,1,Web,Critical,16,Junior,1,35.2,Comprehensive,High,Critical,Moderate,Medium,1,16,37.6,42,3,15.81,37.1,Critical,Good,Modern,Low,Human,25.09
107969,High,160,11,Security,Low,4,Senior,0,82.8,Standard,Standard,High,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,26.71
367585,High,137,10,Web,Medium,5,Senior,1,53.6,Standard,Standard,Medium,Moderate,Medium,1,7,62.7,103,2,4.46,26.4,Medium,Minimal,Modern,High,Hybrid,19.16
62807,Medium,72,6,Data,Medium,6,Mid,0,36.9,Minimal,High,High,Flexible,Medium,1,8,46.4,89,0,5.84,25.8,Medium,Standard,Current,High,Hybrid,36.43
7268,Medium,144,5,Infrastructure,High,3,Senior,0,92.6,Standard,Real-time,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,33.68
473230,High,222,4,Data,Medium,7,Senior,0,75.3,Minimal,High,High,Moderate,High,1,13,29.6,112,7,15.76,49.7,Critical,Minimal,Modern,Medium,Human,11.47
151406,High,159,12,Data,High,8,Architect,1,50.4,Minimal,Real-time,High,Moderate,High,1,15,42.0,89,8,4.72,23.2,High,Poor,Current,Medium,Human,4.72
347539,High,186,10,Data,High,13,Architect,1,90.0,Minimal,Real-time,Medium,Flexible,Low,1,5,43.2,42,2,1.04,16.2,Low,Minimal,Current,Medium,Human,13.12
49060,Medium,80,6,Data,High,12,Mid,1,57.4,Standard,High,Low,Flexible,Medium,1,17,41.9,63,6,0.56,41.6,High,Minimal,Dated,Medium,Human,24.6
88333,Medium,114,4,Mobile,High,9,Mid,0,59.4,Standard,Real-time,High,Tight,Low,1,11,23.2,96,7,20.0,52.4,Critical,Minimal,Modern,Low,Human,20.96
85633,Medium,73,5,Security,Low,2,Mid,0,46.5,Standard,High,High,Moderate,Medium,1,15,66.6,99,8,3.08,41.0,Critical,Standard,Dated,Low,Human,30.39
107930,Medium,94,4,Infrastructure,Critical,8,Senior,1,47.1,Standard,Standard,Low,Moderate,Medium,1,17,34.6,185,7,10.85,51.7,Critical,Poor,Legacy,Medium,Human,15.44
329939,High,169,8,Web,High,10,Senior,1,15.4,Standard,High,Medium,Moderate,Medium,1,15,39.8,119,5,1.93,42.3,High,Standard,Dated,Unfamiliar,Human,13.62
1097,Low,28,1,Security,Low,2,Mid,0,61.7,Standard,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,57.57
219906,High,174,8,Infrastructure,Low,4,Mid,0,30.1,Minimal,Standard,High,Flexible,High,1,19,15.9,176,4,2.49,44.8,Critical,Good,Legacy,Low,Human,21.34
160591,Medium,121,3,Infrastructure,Low,6,Mid,0,65.7,Standard,Real-time,Critical,Tight,Medium,1,9,65.5,89,0,1.01,13.5,Low,Standard,Dated,High,Human,38.67
3256,Low,7,3,Web,High,8,Mid,0,60.5,Minimal,Standard,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,56.67
895,Low,37,1,Data,Medium,3,Mid,0,66.4,Standard,High,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,51.08
37803,High,152,7,Data,High,7,Junior,0,61.8,Standard,Standard,Medium,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.29
3401,Low,22,6,Data,Low,5,Mid,1,26.4,Standard,Real-time,Low,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,50.76
46702,Medium,70,3,Web,Low,4,Mid,0,34.2,Comprehensive,High,High,Flexible,High,1,17,33.3,186,5,2.73,37.8,High,Standard,Dated,Medium,Human,31.18
1941,Low,21,1,Security,Low,1,Senior,0,51.9,Standard,High,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.97
204908,High,218,10,Mobile,Medium,9,Mid,1,53.4,Comprehensive,High,High,Moderate,High,1,12,59.2,105,0,3.81,30.6,Medium,Good,Legacy,High,Human,20.39
3304,Low,23,1,Web,Medium,2,Senior,0,35.0,Minimal,Real-time,Low,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,53.72
25948,High,129,6,Security,High,5,Junior,1,91.1,Comprehensive,High,Medium,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,38.06
36569,High,171,8,Web,Medium,2,Senior,0,75.2,Comprehensive,Standard,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,35.37
12789,Medium,81,4,Infrastructure,Low,1,Senior,0,52.3,Comprehensive,Standard,Low,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,42.46
1299,Low,39,1,Web,High,7,Mid,0,56.0,Standard,Standard,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,52.18
7285,Low,28,1,Security,Low,1,Senior,0,58.5,Minimal,Real-time,Critical,Moderate,Low,1,11,63.3,84,5,8.44,1.4,Medium,Good,Dated,Medium,Human,34.5
172350,High,153,11,Web,Critical,16,Senior,1,59.7,Comprehensive,High,High,Flexible,Medium,1,15,15.8,256,6,2.59,45.9,High,Minimal,Legacy,Low,Human,2.0
109620,High,130,7,Web,High,5,Senior,1,86.8,Standard,Standard,High,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,24.15
24602,Low,36,1,Infrastructure,Low,6,Mid,0,39.7,Comprehensive,Standard,Low,Tight,Medium,1,7,45.4,146,4,0.16,23.9,Medium,Poor,Dated,Low,Hybrid,48.02
18845,Medium,91,3,Security,High,7,Senior,0,74.6,Standard,High,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.3
5225,Low,27,4,Data,High,10,Architect,1,41.3,Minimal,Standard,High,Tight,High,1,7,56.5,104,1,2.66,21.2,Medium,Minimal,Dated,High,Human,27.43
51509,Medium,133,4,Infrastructure,Low,3,Junior,0,43.9,Standard,High,Low,Flexible,Medium,1,14,61.0,99,6,7.45,24.1,High,Poor,Dated,High,Hybrid,42.37
7998,Medium,86,2,Data,Medium,4,Mid,0,60.8,Standard,High,High,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,47.8
24666,Medium,81,3,Security,Low,4,Junior,1,56.6,Standard,Standard,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,49.79
13210,High,88,9,Mobile,Low,1,Mid,0,70.5,Standard,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,35.33
14657,Medium,95,5,Mobile,High,8,Mid,0,80.0,Standard,High,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.89
305774,High,183,8,Infrastructure,High,10,Mid,0,54.5,Standard,High,Medium,Tight,Low,1,13,37.0,66,4,2.34,17.3,Medium,Minimal,Dated,Unfamiliar,Hybrid,25.27
142144,High,116,7,Infrastructure,High,7,Senior,1,41.9,Standard,High,High,Moderate,Low,1,21,25.6,67,6,4.08,57.0,Critical,Standard,Legacy,Unfamiliar,Human,5.51
5838,Low,34,3,Security,High,3,Senior,1,98.0,Standard,Standard,Medium,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,44.8
174298,High,182,9,Security,High,8,Mid,1,18.2,Comprehensive,High,Critical,Tight,Medium,1,16,36.6,112,5,20.0,33.8,High,Poor,Modern,Medium,Human,11.41
244333,High,107,5,Data,High,9,Mid,0,70.4,Standard,Standard,High,Flexible,Medium,1,16,35.6,84,6,9.07,53.7,Critical,Minimal,Legacy,Medium,Human,16.37
65755,High,148,8,Mobile,Critical,12,Mid,1,62.8,Minimal,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.67
60818,High,169,10,Web,Low,1,Architect,0,49.5,Standard,Real-time,Medium,Flexible,High,1,9,44.3,161,4,6.52,42.9,High,Poor,Current,Medium,Human,6.77
555,Low,21,2,Mobile,High,3,Architect,1,67.0,Standard,Real-time,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,36.52
1051,Low,29,2,Web,Critical,3,Junior,0,37.7,Minimal,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,57.16
1198,Low,28,2,Web,Low,7,Architect,0,61.1,Comprehensive,Real-time,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,30.63
2010,Low,21,2,Security,Low,3,Junior,0,29.3,Minimal,Real-time,Low,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,60.67
116459,High,168,9,Data,Medium,6,Senior,1,61.3,Minimal,Real-time,Medium,Moderate,Low,1,13,46.2,33,11,10.84,30.1,High,Standard,Modern,Low,Human,12.31
311716,High,125,6,Infrastructure,High,10,Mid,1,45.4,Comprehensive,Real-time,Low,Moderate,High,1,7,39.1,24,3,15.84,33.0,Medium,Standard,Dated,Low,Human,17.2
1212,Low,22,1,Mobile,Low,4,Senior,1,44.3,Standard,Standard,Low,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,50.04
28114,High,156,8,Security,High,7,Senior,1,54.6,Comprehensive,High,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,25.2
174854,High,166,8,Mobile,Critical,14,Senior,1,61.1,Standard,Real-time,Low,Flexible,High,1,10,78.0,68,6,11.07,37.3,High,Minimal,Modern,High,Human,8.69
12499,Medium,89,6,Data,Medium,7,Mid,0,72.6,Standard,Standard,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,45.65
1756,Low,42,1,Web,Low,2,Mid,0,79.7,Minimal,Standard,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,55.19
3297,Low,7,1,Infrastructure,Medium,4,Mid,0,34.7,Standard,High,Critical,Tight,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,51.41
18692,Medium,99,6,Web,Critical,10,Senior,0,85.6,Standard,Standard,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,29.89
1071,Low,52,1,Infrastructure,Critical,4,Junior,0,89.9,Standard,High,Low,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,57.48
912,Low,7,2,Infrastructure,High,5,Senior,0,39.0,Comprehensive,Real-time,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,37.44
266506,High,191,7,Web,Critical,10,Senior,1,81.8,Comprehensive,Real-time,Medium,Moderate,High,1,14,43.5,37,8,5.57,35.5,High,Good,Modern,Medium,Human,6.52
286635,High,133,8,Infrastructure,High,10,Architect,1,43.3,Minimal,High,Medium,Tight,High,1,19,30.1,201,10,6.33,58.4,Critical,Minimal,Modern,High,Human,9.62
12891,Low,56,4,Infrastructure,Critical,9,Mid,0,51.4,Standard,Real-time,Critical,Flexible,High,1,1,58.0,35,1,8.73,9.8,Low,Minimal,Modern,High,Human,33.04
1487,Low,28,3,Data,Medium,5,Architect,1,66.9,Standard,Real-time,Low,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,AI,29.17
21101,High,124,9,Data,Low,1,Senior,1,78.4,Standard,Real-time,High,Flexible,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,28.05
30787,High,146,6,Security,Low,0,Junior,0,86.2,Comprehensive,Standard,High,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.24
7445,Low,42,5,Web,Low,5,Junior,0,68.3,Minimal,Real-time,Critical,Tight,Medium,1,6,46.1,84,4,4.7,19.5,Medium,Minimal,Legacy,Medium,Human,47.93
1928,Low,24,1,Security,Critical,9,Senior,0,55.1,Standard,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,49.1
53493,Medium,100,6,Infrastructure,High,4,Senior,0,53.9,Comprehensive,Standard,Low,Flexible,Medium,1,21,31.6,97,5,15.42,44.3,Critical,Minimal,Legacy,Medium,Human,12.55
102625,Medium,93,7,Infrastructure,High,9,Mid,1,49.3,Standard,Real-time,Low,Flexible,High,1,17,29.1,80,4,5.72,24.3,High,Good,Modern,Low,Human,21.89
13599,Medium,100,2,Data,High,8,Senior,1,89.1,Minimal,Standard,Medium,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,39.1
25173,Medium,99,7,Web,Low,0,Mid,0,66.2,Standard,High,Medium,Moderate,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,44.78
56415,High,178,7,Data,Medium,4,Mid,0,94.8,Minimal,Standard,High,Moderate,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,39.0
17864,Medium,81,4,Infrastructure,Medium,5,Mid,0,86.7,Minimal,Standard,Medium,Tight,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,47.73
9502,Medium,84,3,Security,Low,1,Senior,1,58.4,Standard,High,Critical,Moderate,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,33.26
22227,Medium,85,6,Security,Medium,3,Junior,1,61.4,Standard,High,Medium,Flexible,High,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,41.98
47596,Medium,87,9,Infrastructure,Medium,6,Senior,0,62.4,Minimal,Real-time,Critical,Moderate,Low,1,11,61.6,108,3,1.7,24.7,High,Standard,Current,High,Human,28.77
44853,Medium,94,6,Infrastructure,High,7,Senior,0,54.4,Standard,High,Critical,Tight,Low,1,10,31.7,72,1,9.26,8.9,Medium,Good,Dated,Medium,Human,24.59
59372,High,133,4,Data,Medium,6,Mid,0,98.0,Comprehensive,Standard,Low,Flexible,Medium,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Hybrid,36.24
5699,Medium,104,5,Data,Critical,8,Mid,1,63.2,Standard,High,Critical,Tight,Low,0,0,0.0,0,0,0.0,0.0,Low,Poor,Current,High,Human,40.91
